Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.065100524552,0.063075475058,0.104778825212,0.121507354442
LinearRankSelection,0.12494882555799999,0.074585803974,0.11822785381,0.118710783564
RouletteSelection,0.0372964079088,0.05821489349,0.0614417075996,0.10090739791600001
StochasticUniversalSampling,0.111573303558,0.07741956387,0.14995651822,0.138333013802
Tournament Selection,0.06884589724314208,0.07402997531641858,0.08855186861563716,0.11693071693555555
TruncationSelection,0.0365294965022,0.069581750826,0.0455582176286,0.125942329082
