Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
0.0,42368.646,6480.99,1249.02,5651.186
0.25,28344.102,6462.124,1246.252,5755.674
0.5,28213.204444444444,5663.364,1245.08,5141.864444444444
0.75,28419.526666666665,5358.166,1249.304,5531.046
1.0,28762.588,5272.556,1235.106,5767.874
