Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
25,29460.896,6492.868,5250.254,6350.7480000000005
50,28213.204444444444,5663.364,1245.08,5141.864444444444
75,27837.222,5975.778,4815.7880000000005,5960.222
100,27650.176,5907.502,4867.476,4737.742
125,27454.944,5207.43,4823.37,4803.376
150,27243.84,4699.888,4833.734,4421.392
