Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,1.0,0.5082857142857143,1.0,0.8733333333333334
LinearRankSelection,0.9973333333333333,0.4342857142857143,1.0,0.7233333333333333
RouletteSelection,1.0,0.5794285714285714,1.0,0.884
StochasticUniversalSampling,1.0,0.5334285714285714,1.0,0.8400000000000001
Tournament Selection,1.0,0.5474285714285714,1.0,0.8533333333333333
TruncationSelection,1.0,0.5757142857142857,1.0,0.9206666666666666
