Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.01877715065,0.0497474723,0.039985158,0.10053815020000001
LinearRankSelection,0.1256833545,0.0721650726,0.0856634515,0.11851462509999999
RouletteSelection,0.01202804415,0.0500142636,0.0074216063,0.0632155019
StochasticUniversalSampling,0.1016515926,0.07796584399999999,0.148214773,0.1425036956
Tournament Selection,0.013617779778809999,0.0632288454,0.02829501442,0.08792616066666667
TruncationSelection,0.01136226783,0.0284294827,0.0117394919,0.0870377826
