Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.581565324,0.33602988899999997,0.6320108090000001,0.366124343
LinearRankSelection,0.320774735,0.1246460464,0.329537973,0.1296468301
RouletteSelection,0.5885803359999999,0.381023893,0.653387398,0.47572171
StochasticUniversalSampling,0.467492841,0.252067585,0.481675361,0.237462981
Tournament Selection,0.6597891855555555,0.448839653,0.703376403,0.5075168411111112
TruncationSelection,0.5527757959999999,0.494282651,0.61033656,0.43502746800000003
