Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
1,18420.72,3551.526,813.12,4083.378
2,28213.204444444444,5663.364,1245.08,5141.864444444444
5,59783.06222222222,12454.214,2641.836,11700.516
10,123016.41333333333,29470.606,5403.22,29846.1
