Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.60254814,0.422074536,0.655010741,0.520669945
LinearRankSelection,0.539851341,0.285249126,0.603164295,0.368146771
RouletteSelection,0.606997118,0.487366401,0.663476255,0.575386821
StochasticUniversalSampling,0.577343741,0.419713352,0.628383917,0.508931684
Tournament Selection,0.6658119288888888,0.51609578,0.714111704,0.5750784722222222
TruncationSelection,0.577076807,0.5577791,0.63138295,0.5864846459999999
