Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
1,18307,3912.5,815.3,5389.7
2,27190.444444444445,6220.3,1236.1,3992.5555555555557
5,58381.77777777778,10506.9,2615.6,12160.1
10,129922.55555555556,32018.7,5693.3,29324.444444444445
