Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
BitWise Inversion,0.5585777777777778,0.58556,0.56876,0.6283111111111112
RandomInversion,0.73764,0.7784,0.77184,0.79344
SingleBitInversion,0.75888,0.77448,0.73312,0.8019999999999999
