Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.57286322346,0.38034874514,0.62200620688,0.49427203628
LinearRankSelection,0.55181433502,0.3135862301,0.60176714662,0.41067891558
RouletteSelection,0.57347626054,0.42568845172,0.62682136146,0.51529811896
StochasticUniversalSampling,0.56539177934,0.38967076348,0.61457776076,0.48453653282000003
Tournament Selection,0.5967542202,0.42379788522,0.64975507524,0.4993597438222222
TruncationSelection,0.56688630238,0.47738147442,0.62002344258,0.53220729328
