Hyperparameter,InfinityPool,LogicErrorPool,MemoryPool,MultiThreadedPool
ExponentialRankSelection,0.5155127049,0.25893588504,0.53518934218,0.25932870381
LinearRankSelection,0.36968532876,0.154263802214,0.36372228122,0.141856286112
RouletteSelection,0.53226302234,0.287931929,0.57019083942,0.33653655598
StochasticUniversalSampling,0.44086027678,0.21914599588,0.44632868288,0.20657207557
Tournament Selection,0.5461302015111111,0.3165315799,0.5831310275,0.3383603282977778
TruncationSelection,0.5286442513,0.36848109796,0.5756327344,0.32246522204
